first,last,user,match_request,time_since_last
1455213746.04141,1455213776.81733,180,false,0
1455222581.65318,1455222594.79329,181,false,8576.264039993286
1455222475.33377,1455222770.73356,182,false,8438.937690019608
1455218193.08201,1455218197.32916,183,false,3691.095780134201
1455214113.80142,1455214298.20173,184,false,0
1455214199.75833,1455214202.40488,185,false,0
1455214217.3606,1455214220.81491,186,false,0
1455216788.50317,1455216788.96262,187,false,2529.7676599025726
1455214329.20299,1455214364.28248,188,false,0
1455220120.56993,1455220122.94861,189,false,5302.931120157242
1455214669.496,1455214682.97954,190,false,0
1455214683.68911,1455214799.08515,191,false,0
1455215218.67249,1455216042.81111,192,false,0
1455224235.54536,1455224793.43658,193,true,8862.542230129242
1455215642.75734,1455215654.51939,194,false,0
1455218387.11507,1455218413.23913,195,false,2425.5469300746918
1455228970.45614,1455229029.84206,196,false,13019.997370004654
1455215719.68595,1455215779.03143,197,false,0
1455219935.63078,1455219936.72007,198,false,1220.5642800331116
1455219828.84839,1455219829.21599,199,false,1634.1554501056671
1455216247.71858,1455216458.43741,200,false,0
1455216321.88316,1455216376.40913,201,false,0
1455216532.34821,1455216615.62621,202,false,0
1455216735.99249,1455216753.71079,203,false,0
1455216879.08207,1455217132.31325,204,false,0
1455216996.58566,1455217040.74565,205,false,0
1455217530.43265,1455217836.2549,206,false,0
1455217548.97473,1455217665.18529,207,false,0
1455219931.75046,1455219951.8544,208,false,2269.8695299625397
1455217837.60217,1455217954.03176,209,false,0
1455220962.48511,1455220993.33785,210,false,2811.73589015007
1455221709.15392,1455221710.55005,211,false,973.5191600322723
1455221269.30189,1455221270.51323,213,false,3245.5863897800446
1455218344.13333,1455218967.06157,214,false,0
1455218935.42708,1455219087.06065,215,false,0
1455225899.69748,1455225925.34321,216,false,4038.224499940872
1455228963.26232,1455229971.07679,217,false,3786.693740129471
1455219168.9149,1455219254.12412,218,false,0
1455219746.40989,1455219834.16655,219,false,0
1455219816.6449,1455219859.88708,220,false,0
1455219838.99161,1455220182.5115,221,false,0
1455219892.4151,1455219895.7065,222,false,0
1455219942.33611,1455219966.27118,223,false,0
1455220573.68216,1455220574.64476,224,false,0
1455220609.76569,1455221228.43869,225,false,0
1455220753.67468,1455220764.17913,226,false,0
1455220929.69521,1455220930.60455,227,false,0
1455222091.51073,1455222269.15967,228,false,1100.196660041809
1455221124.85447,1455221125.64402,229,false,0
1455221264.24226,1455221264.54029,230,false,0
1455224980.69796,1455225483.47479,231,true,3544.5280199050903
1455225529.89444,1455226022.6689,232,true,3614.9058899879456
1455221870.2882,1455222710.18241,233,false,0
1455221892.14638,1455221909.37702,234,false,0
1455222035.97822,1455222167.45863,235,false,0
1455226836.12697,1455226836.12697,236,false,4117.614910125732
1455224197.69618,1455224205.37436,269,false,0
1455224718.33589,1455224771.39723,270,false,0
1455229167.10618,1455229203.81984,271,false,3285.9455800056458
1455224954.22218,1455225055.14098,272,false,0
1455225111.09282,1455225594.07158,273,true,0
1455225435.82439,1455230534.70507,274,true,0
1455225577.17917,1455225894.28961,275,true,0
1455228443.10241,1455228821.55723,276,false,2802.132660150528
1455225842.63745,1455226092.063,277,true,0
1455226083.3011,1455226130.27658,278,false,0
1455226216.12655,1455226320.53833,279,false,0
1455227268.50411,1455227317.54113,280,false,0
1455227833.14163,1455229282.74119,281,true,0
